x: 11011100 220  y: 11011100 250
x: 10101001 169  y: 10101001 13
x: 11001010 202  y: 11001010 60
x: 00111100 60  y: 00111100 235
x: 10000101 133  y: 10000101 103
x: 01010001 81  y: 01010001 26
x: 01110001 113  y: 01110001 177
x: 00001011 11  y: 00001011 82
x: 11011001 217  y: 11011001 35
x: 11101001 233  y: 11101001 248
x: 01111100 124  y: 01111100 10
x: 11011000 216  y: 11011000 210
x: 11001011 203  y: 11001011 34
x: 01110010 114  y: 01110010 233
x: 11001111 207  y: 11001111 164
x: 11101000 232  y: 11101000 139
x: 11111110 254  y: 11111110 205
x: 10010111 151  y: 10010111 216
x: 10100010 162  y: 10100010 94
x: 10000010 130  y: 10000010 156
x: 11011100 220  y: 11011100 97
x: 11001011 203  y: 11001011 63
x: 11111010 250  y: 11111010 73
x: 01010000 80  y: 01010000 86
x: 11100100 228  y: 11100100 241
x: 11011111 223  y: 11011111 102
x: 10101010 170  y: 10101010 54
x: 01100111 103  y: 01100111 172
x: 10001011 139  y: 10001011 148
x: 11100011 227  y: 11100011 125
x: 11100110 230  y: 11100110 227
x: 11000100 196  y: 11000100 30
x: 01010100 84  y: 01010100 142
x: 01000110 70  y: 01000110 219
x: 00001011 11  y: 00001011 101
x: 00010101 21  y: 00010101 8
x: 11110110 246  y: 11110110 31
x: 01010100 84  y: 01010100 45
x: 10001110 142  y: 10001110 121
x: 01100010 98  y: 01100010 60
x: 01001000 72  y: 01001000 153
x: 11000100 196  y: 11000100 123
x: 11011101 221  y: 11011101 16
x: 10111111 191  y: 10111111 86
x: 11010110 214  y: 11010110 159
x: 10111101 189  y: 10111101 140
x: 11100101 229  y: 11100101 183
x: 01011011 91  y: 01011011 13
x: 10111101 189  y: 10111101 68
x: 10111110 190  y: 10111110 196
x: 00000011 3  y: 00000011 31
x: 01011001 89  y: 01011001 113
x: 01011010 90  y: 01011010 45
x: 00110001 49  y: 00110001 213
x: 01111011 123  y: 01111011 30
x: 11101001 233  y: 11101001 80
x: 00011001 25  y: 00011001 180
x: 10111000 184  y: 10111000 240
x: 10110001 177  y: 10110001 137
x: 01110111 119  y: 01110111 212
x: 10011001 153  y: 10011001 102
x: 00100100 36  y: 00100100 213
x: 01110001 113  y: 01110001 100
x: 00010111 23  y: 00010111 128
x: 00101101 45  y: 00101101 96
x: 10100101 165  y: 10100101 242
x: 01110100 116  y: 01110100 39
x: 10101010 170  y: 10101010 121
x: 01110110 118  y: 01110110 173
x: 00101101 45  y: 00101101 182
x: 10110100 180  y: 10110100 162
x: 11111101 253  y: 11111101 218
x: 00010010 18  y: 00010010 253
x: 00001001 9  y: 00001001 57
x: 00100111 39  y: 00100111 19
x: 01111101 125  y: 01111101 106
x: 11100110 230  y: 11100110 229
x: 11010110 214  y: 11010110 202
x: 10010000 144  y: 10010000 43
x: 00010010 18  y: 00010010 166
x: 10010001 145  y: 10010001 133
x: 10111000 184  y: 10111000 146
x: 11101111 239  y: 11101111 183
x: 00000101 5  y: 00000101 112
x: 10101100 172  y: 10101100 87
x: 00110001 49  y: 00110001 179
x: 01001001 73  y: 01001001 186
x: 10010001 145  y: 10010001 21
x: 11101001 233  y: 11101001 19
x: 00111001 57  y: 00111001 243
x: 10001101 141  y: 10001101 47
x: 01100100 100  y: 01100100 60
x: 10101011 171  y: 10101011 201
x: 00001101 13  y: 00001101 164
x: 01001000 72  y: 01001000 224
x: 01100010 98  y: 01100010 109
x: 00010100 20  y: 00010100 225
x: 01011000 88  y: 01011000 177
x: 10111011 187  y: 10111011 14
x: 00110110 54  y: 00110110 14
x: 10001011 139  y: 10001011 25
x: 01101000 104  y: 01101000 216
x: 10100011 163  y: 10100011 4
x: 11010111 215  y: 11010111 191
x: 11010001 209  y: 11010001 145
x: 01010110 86  y: 01010110 26
x: 00111011 59  y: 00111011 65
x: 10001100 140  y: 10001100 203
x: 11010101 213  y: 11010101 61
x: 00111111 63  y: 00111111 14
x: 00010011 19  y: 00010011 243
x: 11011111 223  y: 11011111 103
x: 10100101 165  y: 10100101 80
x: 01101000 104  y: 01101000 89
x: 00101010 42  y: 00101010 81
x: 01111010 122  y: 01111010 98
x: 10111011 187  y: 10111011 208
x: 10010000 144  y: 10010000 195
x: 01010100 84  y: 01010100 91
x: 00001101 13  y: 00001101 218
x: 11111110 254  y: 11111110 95
x: 10100001 161  y: 10100001 7
x: 11110001 241  y: 11110001 22
x: 11111010 250  y: 11111010 181
x: 00101000 40  y: 00101000 80
x: 01100111 103  y: 01100111 95
x: 10011100 156  y: 10011100 94
x: 00111011 59  y: 00111011 155
x: 10110001 177  y: 10110001 74
x: 11100001 225  y: 11100001 29
x: 00010101 21  y: 00010101 103
x: 00101100 44  y: 00101100 57
x: 11111011 251  y: 11111011 121
x: 00101101 45  y: 00101101 32
x: 00001000 8  y: 00001000 201
x: 01010011 83  y: 01010011 12
x: 10111001 185  y: 10111001 189
x: 01011100 92  y: 01011100 1
x: 00000101 5  y: 00000101 100
x: 01010000 80  y: 01010000 140
x: 00110101 53  y: 00110101 178
x: 01000001 65  y: 01000001 254
x: 10101100 172  y: 10101100 59
x: 10010110 150  y: 10010110 63
x: 01111101 125  y: 01111101 149
x: 01010001 81  y: 01010001 135
x: 01111111 127  y: 01111111 75
x: 00111111 63  y: 00111111 214
x: 10011010 154  y: 10011010 139
x: 11111010 250  y: 11111010 180
x: 11000111 199  y: 11000111 204
x: 00000000 0  y: 00000000 221
x: 10110110 182  y: 10110110 96
x: 10111010 186  y: 10111010 174
x: 00010100 20  y: 00010100 108
x: 00101011 43  y: 00101011 208
x: 10000000 128  y: 10000000 33
x: 01010011 83  y: 01010011 154
x: 10101000 168  y: 10101000 187
x: 10010100 148  y: 10010100 52
x: 11111010 250  y: 11111010 127
x: 10011101 157  y: 10011101 229
x: 00001010 10  y: 00001010 26
x: 00100111 39  y: 00100111 153
x: 00011001 25  y: 00011001 13
x: 11110110 246  y: 11110110 238
x: 10000110 134  y: 10000110 129
x: 10011101 157  y: 10011101 90
x: 10001110 142  y: 10001110 52
x: 00001111 15  y: 00001111 193
x: 00000111 7  y: 00000111 99
x: 00110000 48  y: 00110000 216
x: 10011101 157  y: 10011101 25
x: 00101110 46  y: 00101110 33
x: 00110001 49  y: 00110001 56
x: 00111101 61  y: 00111101 163
x: 00101001 41  y: 00101001 125
x: 01111011 123  y: 01111011 39
x: 10011101 157  y: 10011101 231
x: 10000111 135  y: 10000111 145
x: 01101001 105  y: 01101001 75
x: 10010111 151  y: 10010111 102
x: 11110010 242  y: 11110010 224
x: 11100111 231  y: 11100111 59
x: 10101011 171  y: 10101011 136
x: 01001100 76  y: 01001100 205
x: 10011111 159  y: 10011111 13
x: 10010010 146  y: 10010010 246
x: 00000011 3  y: 00000011 209
x: 00111100 60  y: 00111100 38
x: 11101010 234  y: 11101010 94
x: 00010010 18  y: 00010010 103
x: 11000001 193  y: 11000001 245
x: 11101101 237  y: 11101101 223
x: 10011110 158  y: 10011110 169
x: 11110100 244  y: 11110100 54
x: 11111010 250  y: 11111010 226
x: 11101111 239  y: 11101111 235
x: 11100111 231  y: 11100111 232
x: 11100101 229  y: 11100101 227
x: 01010110 86  y: 01010110 222
x: 01101000 104  y: 01101000 46
x: 01011000 88  y: 01011000 82
x: 11000001 193  y: 11000001 202
x: 10111001 185  y: 10111001 42
x: 11000100 196  y: 11000100 133
x: 01100011 99  y: 01100011 142
x: 01110100 116  y: 01110100 121
x: 10111100 188  y: 10111100 4
x: 01000011 67  y: 01000011 128
x: 11011010 218  y: 11011010 161
x: 10100111 167  y: 10100111 70
x: 11111101 253  y: 11111101 214
x: 11110011 243  y: 11110011 146
x: 00100101 37  y: 00100101 23
x: 11010110 214  y: 11010110 80
x: 10110100 180  y: 10110100 101
x: 11111101 253  y: 11111101 95
x: 10100111 167  y: 10100111 32
x: 00010001 17  y: 00010001 106
x: 01100100 100  y: 01100100 167
x: 01111110 126  y: 01111110 8
x: 10001111 143  y: 10001111 15
x: 10100010 162  y: 10100010 115
x: 01110010 114  y: 01110010 153
x: 00001101 13  y: 00001101 150
x: 10111100 188  y: 10111100 242
x: 10101001 169  y: 10101001 5
x: 01110000 112  y: 01110000 245
x: 10010000 144  y: 10010000 137
x: 11000010 194  y: 11000010 134
x: 01000100 68  y: 01000100 251
x: 10010010 146  y: 10010010 96
x: 01010101 85  y: 01010101 88
x: 01001110 78  y: 01001110 97
x: 11001101 205  y: 11001101 163
x: 00000011 3  y: 00000011 104
x: 11100001 225  y: 11100001 217
x: 11010101 213  y: 11010101 217
x: 00011100 28  y: 00011100 21
x: 01011101 93  y: 01011101 230
x: 01110010 114  y: 01110010 2
x: 11101111 239  y: 11101111 158
x: 10101011 171  y: 10101011 89
x: 00101011 43  y: 00101011 235
x: 10001101 141  y: 10001101 131
x: 01110100 116  y: 01110100 26
x: 11001101 205  y: 11001101 30
x: 11111101 253  y: 11111101 248
x: 00100011 35  y: 00100011 162
x: 10110111 183  y: 10110111 209
x: 01010001 81  y: 01010001 184
x: 11110001 241  y: 11110001 220
x: 11100111 231  y: 11100111 186
x: 01110001 113  y: 01110001 92
x: 11011100 220  y: 11011100 89
x: 10000111 135  y: 10000111 186
x: 01001110 78  y: 01001110 69
x: 10110111 183  y: 10110111 197
x: 11011001 217  y: 11011001 241
x: 11011111 223  y: 11011111 150
x: 00101000 40  y: 00101000 119
x: 11101110 238  y: 11101110 205
x: 11011011 219  y: 11011011 222
x: 00110010 50  y: 00110010 82
x: 00001111 15  y: 00001111 148
x: 01000111 71  y: 01000111 174
x: 00110001 49  y: 00110001 75
x: 01011100 92  y: 01011100 235
x: 10111011 187  y: 10111011 180
x: 10010100 148  y: 10010100 102
x: 11110111 247  y: 11110111 175
x: 01100111 103  y: 01100111 125
x: 10010101 149  y: 10010101 121
x: 10100111 167  y: 10100111 99
x: 10000000 128  y: 10000000 183
x: 01001111 79  y: 01001111 167
x: 10010111 151  y: 10010111 131
x: 11111010 250  y: 11111010 87
x: 01001010 74  y: 01001010 233
x: 01010001 81  y: 01010001 9
x: 10111011 187  y: 10111011 243
x: 01011011 91  y: 01011011 77
x: 11001001 201  y: 11001001 201
x: 10001110 142  y: 10001110 100
x: 11110011 243  y: 11110011 189
x: 10010101 149  y: 10010101 187
x: 10100100 164  y: 10100100 137
x: 11011010 218  y: 11011010 78
x: 11110101 245  y: 11110101 47
x: 00101101 45  y: 00101101 198
x: 01001110 78  y: 01001110 123
x: 11010000 208  y: 11010000 33
x: 01101011 107  y: 01101011 187
x: 10011101 157  y: 10011101 165
x: 10000111 135  y: 10000111 207
x: 01101110 110  y: 01101110 176
x: 10000100 132  y: 10000100 224
x: 01000001 65  y: 01000001 138
x: 10001110 142  y: 10001110 213
x: 01101100 108  y: 01101100 49
x: 00110110 54  y: 00110110 254
x: 01000110 70  y: 01000110 41
x: 01101100 108  y: 01101100 114
x: 01100100 100  y: 01100100 7
x: 01011001 89  y: 01011001 199
x: 01111101 125  y: 01111101 28
x: 10000011 131  y: 10000011 80
x: 10011110 158  y: 10011110 29
x: 11010100 212  y: 11010100 79
x: 01011000 88  y: 01011000 199
x: 00000101 5  y: 00000101 134
x: 01110011 115  y: 01110011 195
x: 10111110 190  y: 10111110 153
x: 00101101 45  y: 00101101 74
x: 11010100 212  y: 11010100 22
x: 01101011 107  y: 01101011 137
x: 00111011 59  y: 00111011 23
x: 00110111 55  y: 00110111 221
x: 00000000 0  y: 00000000 153
x: 11010011 211  y: 11010011 82
x: 11011110 222  y: 11011110 246
x: 11101010 234  y: 11101010 96
x: 11100010 226  y: 11100010 141
x: 00101000 40  y: 00101000 184
x: 11010110 214  y: 11010110 221
x: 10101100 172  y: 10101100 181
x: 01100010 98  y: 01100010 186
x: 10011100 156  y: 10011100 239
x: 00101100 44  y: 00101100 184
x: 11011010 218  y: 11011010 170
x: 10011110 158  y: 10011110 100
x: 00000010 2  y: 00000010 248
x: 01111111 127  y: 01111111 216
x: 11001000 200  y: 11001000 231
x: 00000111 7  y: 00000111 54
x: 10000011 131  y: 10000011 14
x: 11000010 194  y: 11000010 109
x: 11101000 232  y: 11101000 108
x: 00111010 58  y: 00111010 139
x: 01101010 106  y: 01101010 47
x: 11111001 249  y: 11111001 185
x: 11110111 247  y: 11110111 236
x: 01101001 105  y: 01101001 176
x: 01110001 113  y: 01110001 221
x: 01100101 101  y: 01100101 31
x: 00010111 23  y: 00010111 207
x: 10111101 189  y: 10111101 77
x: 01000111 71  y: 01000111 195
x: 00101010 42  y: 00101010 5
x: 10011100 156  y: 10011100 24
x: 11101011 235  y: 11101011 17
x: 00101010 42  y: 00101010 9
x: 10101010 170  y: 10101010 202
x: 11001001 201  y: 11001001 178
x: 11011011 219  y: 11011011 38
x: 00010111 23  y: 00010111 7
x: 10010111 151  y: 10010111 81
x: 00010101 21  y: 00010101 124
x: 10111101 189  y: 10111101 103
x: 00100010 34  y: 00100010 85
x: 11011011 219  y: 11011011 88
x: 01101011 107  y: 01101011 181
x: 00100001 33  y: 00100001 255
x: 00011000 24  y: 00011000 110
x: 10000000 128  y: 10000000 188
x: 00110110 54  y: 00110110 38
x: 00001100 12  y: 00001100 5
x: 01101011 107  y: 01101011 243
x: 01000010 66  y: 01000010 167
x: 00101011 43  y: 00101011 230
x: 11010010 210  y: 11010010 240
x: 10111110 190  y: 10111110 174
x: 00011000 24  y: 00011000 57
x: 00001101 13  y: 00001101 82
x: 10011100 156  y: 10011100 223
x: 01000100 68  y: 01000100 194
x: 10000101 133  y: 10000101 0
x: 11111001 249  y: 11111001 78
x: 11110110 246  y: 11110110 157
x: 10110011 179  y: 10110011 118
x: 11001000 200  y: 11001000 0
x: 00001101 13  y: 00001101 112
x: 11100111 231  y: 11100111 126
x: 00111110 62  y: 00111110 227
x: 11100111 231  y: 11100111 80
x: 11011111 223  y: 11011111 218
x: 00110010 50  y: 00110010 80
x: 01011100 92  y: 01011100 49
x: 00111101 61  y: 00111101 172
x: 00111101 61  y: 00111101 89
x: 00111010 58  y: 00111010 190
x: 10000011 131  y: 10000011 194
x: 10111111 191  y: 10111111 186
x: 10000101 133  y: 10000101 198
x: 01100001 97  y: 01100001 11
x: 10011001 153  y: 10011001 207
x: 01000000 64  y: 01000000 205
x: 00000011 3  y: 00000011 250
x: 10010110 150  y: 10010110 229
x: 01110110 118  y: 01110110 43
x: 10111101 189  y: 10111101 177
x: 10111111 191  y: 10111111 136
x: 10001010 138  y: 10001010 152
x: 10001011 139  y: 10001011 63
x: 01010101 85  y: 01010101 96
x: 00101100 44  y: 00101100 33
x: 11000001 193  y: 11000001 145
x: 01001010 74  y: 01001010 131
x: 01110100 116  y: 01110100 3
x: 00000001 1  y: 00000001 95
x: 10011110 158  y: 10011110 249
x: 11010110 214  y: 11010110 243
x: 10100101 165  y: 10100101 58
x: 00010100 20  y: 00010100 59
x: 01110101 117  y: 01110101 185
x: 11001011 203  y: 11001011 14
x: 10000011 131  y: 10000011 117
x: 11000010 194  y: 11000010 33
x: 11011010 218  y: 11011010 80
x: 11010000 208  y: 11010000 145
x: 10110011 179  y: 10110011 139
x: 10101100 172  y: 10101100 206
x: 00110000 48  y: 00110000 19
x: 00101110 46  y: 00101110 189
x: 00100111 39  y: 00100111 45
x: 11100111 231  y: 11100111 4
x: 01111010 122  y: 01111010 196
x: 01001110 78  y: 01001110 17
x: 11000111 199  y: 11000111 98
x: 00111010 58  y: 00111010 45
x: 11110001 241  y: 11110001 255
x: 01101100 108  y: 01101100 123
x: 00001011 11  y: 00001011 99
x: 10100000 160  y: 10100000 201
x: 00001100 12  y: 00001100 15
x: 11101001 233  y: 11101001 102
x: 10110000 176  y: 10110000 10
x: 10010100 148  y: 10010100 94
x: 10110101 181  y: 10110101 196
x: 00110111 55  y: 00110111 41
x: 00011110 30  y: 00011110 93
x: 11011110 222  y: 11011110 141
x: 11101111 239  y: 11101111 217
x: 10011011 155  y: 10011011 83
x: 11101010 234  y: 11101010 110
x: 11110000 240  y: 11110000 12
x: 10100001 161  y: 10100001 42
x: 00111000 56  y: 00111000 26
x: 10111001 185  y: 10111001 166
x: 00001010 10  y: 00001010 212
x: 11100001 225  y: 11100001 9
x: 00011100 28  y: 00011100 105
x: 00101111 47  y: 00101111 192
x: 00100000 32  y: 00100000 88
x: 01001101 77  y: 01001101 133
x: 00010101 21  y: 00010101 183
x: 11010010 210  y: 11010010 54
x: 00101111 47  y: 00101111 157
x: 11100000 224  y: 11100000 213
x: 11111101 253  y: 11111101 95
x: 01000011 67  y: 01000011 30
x: 10111001 185  y: 10111001 190
x: 00100100 36  y: 00100100 6
x: 00110100 52  y: 00110100 158
x: 11100111 231  y: 11100111 157
x: 01010100 84  y: 01010100 102
x: 01010110 86  y: 01010110 54
x: 11000010 194  y: 11000010 235
x: 01000001 65  y: 01000001 52
x: 11010101 213  y: 11010101 55
x: 10110101 181  y: 10110101 165
x: 01101011 107  y: 01101011 37
x: 10001011 139  y: 10001011 92
x: 10101110 174  y: 10101110 140
x: 11011001 217  y: 11011001 66
x: 00110111 55  y: 00110111 163
x: 01110000 112  y: 01110000 172
x: 00000111 7  y: 00000111 81
x: 00001101 13  y: 00001101 0
x: 10001011 139  y: 10001011 191
x: 10000001 129  y: 10000001 5
x: 11000011 195  y: 11000011 141
x: 10111100 188  y: 10111100 116
x: 10001000 136  y: 10001000 15
x: 11110001 241  y: 11110001 66
x: 11001110 206  y: 11001110 10
x: 10010111 151  y: 10010111 110
x: 10011110 158  y: 10011110 7
x: 00011010 26  y: 00011010 162
x: 11100110 230  y: 11100110 131
x: 11000011 195  y: 11000011 244
x: 11001101 205  y: 11001101 162
x: 01110001 113  y: 01110001 17
x: 01001110 78  y: 01001110 103
x: 00101110 46  y: 00101110 66
x: 01100101 101  y: 01100101 125
x: 10001100 140  y: 10001100 132
x: 10000010 130  y: 10000010 163
x: 10010000 144  y: 10010000 8
x: 01101001 105  y: 01101001 190
x: 10010101 149  y: 10010101 116
x: 11110000 240  y: 11110000 156
x: 01001110 78  y: 01001110 26
x: 01010010 82  y: 01010010 186
x: 10100011 163  y: 10100011 254
x: 01110011 115  y: 01110011 133
x: 11110100 244  y: 11110100 4
x: 01000000 64  y: 01000000 28
x: 00000011 3  y: 00000011 182
x: 01100010 98  y: 01100010 117
x: 11110111 247  y: 11110111 74
x: 01001000 72  y: 01001000 39
x: 00100000 32  y: 00100000 164
x: 11100000 224  y: 11100000 25
x: 11111010 250  y: 11111010 87
x: 10010110 150  y: 10010110 57
x: 01100001 97  y: 01100001 106
x: 01100001 97  y: 01100001 140
x: 10100111 167  y: 10100111 148
x: 10011100 156  y: 10011100 81
x: 00110000 48  y: 00110000 186
x: 10010100 148  y: 10010100 41
x: 10011010 154  y: 10011010 196
x: 10010001 145  y: 10010001 127
x: 11001000 200  y: 11001000 77
x: 11111110 254  y: 11111110 195
x: 10001000 136  y: 10001000 183
x: 01011001 89  y: 01011001 117
x: 00010100 20  y: 00010100 244
x: 10111101 189  y: 10111101 152
x: 01101001 105  y: 01101001 66
x: 10111100 188  y: 10111100 23
x: 01100110 102  y: 01100110 88
x: 00111101 61  y: 00111101 19
x: 01000000 64  y: 01000000 93
x: 10011011 155  y: 10011011 99
x: 01000111 71  y: 01000111 77
x: 01010011 83  y: 01010011 37
x: 10110100 180  y: 10110100 180
x: 01110110 118  y: 01110110 143
x: 11010100 212  y: 11010100 208
x: 00000111 7  y: 00000111 229
x: 11000010 194  y: 11000010 50
x: 11001001 201  y: 11001001 141
x: 10001100 140  y: 10001100 209
x: 11100011 227  y: 11100011 1
x: 11011010 218  y: 11011010 15
x: 11110011 243  y: 11110011 97
x: 11000111 199  y: 11000111 188
x: 01101101 109  y: 01101101 217
x: 11110010 242  y: 11110010 237
x: 11000001 193  y: 11000001 183
x: 10001000 136  y: 10001000 113
x: 11000101 197  y: 11000101 49
x: 10110011 179  y: 10110011 12
x: 11100010 226  y: 11100010 91
x: 10111101 189  y: 10111101 172
x: 00101100 44  y: 00101100 238
x: 10101100 172  y: 10101100 17
x: 01110110 118  y: 01110110 74
x: 11110110 246  y: 11110110 189
x: 00111111 63  y: 00111111 243
x: 11011000 216  y: 11011000 86
x: 00100110 38  y: 00100110 179
x: 01111011 123  y: 01111011 196
x: 10110001 177  y: 10110001 99
x: 11100100 228  y: 11100100 135
x: 10001000 136  y: 10001000 233
x: 00010110 22  y: 00010110 21
x: 01001100 76  y: 01001100 33
x: 10100100 164  y: 10100100 41
x: 10110111 183  y: 10110111 102
x: 00010110 22  y: 00010110 174
x: 10000111 135  y: 10000111 105
x: 11000010 194  y: 11000010 43
x: 01011011 91  y: 01011011 204
x: 00010001 17  y: 00010001 49
x: 00001001 9  y: 00001001 157
x: 10001101 141  y: 10001101 85
x: 11100000 224  y: 11100000 5
x: 01110000 112  y: 01110000 46
x: 00011001 25  y: 00011001 126
x: 10011110 158  y: 10011110 207
x: 10001100 140  y: 10001100 54
x: 00100000 32  y: 00100000 111
x: 10100011 163  y: 10100011 4
x: 00100101 37  y: 00100101 234
x: 11000010 194  y: 11000010 19
x: 10001000 136  y: 10001000 245
x: 00110010 50  y: 00110010 146
x: 10010101 149  y: 10010101 90
x: 00000001 1  y: 00000001 246
x: 10101001 169  y: 10101001 195
x: 01101011 107  y: 01101011 183
x: 11011111 223  y: 11011111 151
x: 00110000 48  y: 00110000 196
x: 01101000 104  y: 01101000 248
x: 01111010 122  y: 01111010 254
x: 00001110 14  y: 00001110 209
x: 11000101 197  y: 11000101 10
x: 11110101 245  y: 11110101 134
x: 10000100 132  y: 10000100 207
x: 00110111 55  y: 00110111 19
x: 11100101 229  y: 11100101 80
x: 11001100 204  y: 11001100 176
x: 11110010 242  y: 11110010 113
x: 11001011 203  y: 11001011 214
x: 10011101 157  y: 10011101 89
x: 01001000 72  y: 01001000 219
x: 00010111 23  y: 00010111 199
x: 10101011 171  y: 10101011 91
x: 11000110 198  y: 11000110 150
x: 11100010 226  y: 11100010 210
x: 10100100 164  y: 10100100 108
x: 11011011 219  y: 11011011 221
x: 00110000 48  y: 00110000 226
x: 01010000 80  y: 01010000 52
x: 10001110 142  y: 10001110 122
x: 10111011 187  y: 10111011 63
x: 01000100 68  y: 01000100 9
x: 10100001 161  y: 10100001 207
x: 00110000 48  y: 00110000 169
x: 00111100 60  y: 00111100 214
x: 00000001 1  y: 00000001 23
x: 00111001 57  y: 00111001 86
x: 01000101 69  y: 01000101 60
x: 10001000 136  y: 10001000 68
x: 11001010 202  y: 11001010 166
x: 10101100 172  y: 10101100 196
x: 11001100 204  y: 11001100 126
x: 00011111 31  y: 00011111 181
x: 01111110 126  y: 01111110 109
x: 01000100 68  y: 01000100 120
x: 01101101 109  y: 01101101 137
x: 10011111 159  y: 10011111 42
x: 00110100 52  y: 00110100 127
x: 11100001 225  y: 11100001 186
x: 11001000 200  y: 11001000 185
x: 01100010 98  y: 01100010 140
x: 00001000 8  y: 00001000 223
x: 00110100 52  y: 00110100 43
x: 00011101 29  y: 00011101 172
x: 10100111 167  y: 10100111 253
x: 01010011 83  y: 01010011 25
x: 11000101 197  y: 11000101 77
x: 10011001 153  y: 10011001 254
x: 10110001 177  y: 10110001 56
x: 11111001 249  y: 11111001 3
x: 10100110 166  y: 10100110 140
x: 10011000 152  y: 10011000 67
x: 01101010 106  y: 01101010 105
x: 01011000 88  y: 01011000 56
x: 00101001 41  y: 00101001 11
x: 01011110 94  y: 01011110 21
x: 10100001 161  y: 10100001 23
x: 11001000 200  y: 11001000 7
x: 10010110 150  y: 10010110 176
x: 11011000 216  y: 11011000 229
x: 00110011 51  y: 00110011 197
x: 01000011 67  y: 01000011 52
x: 11000100 196  y: 11000100 227
x: 01000111 71  y: 01000111 153
x: 11010101 213  y: 11010101 155
x: 00111110 62  y: 00111110 151
x: 11000011 195  y: 11000011 203
x: 00110101 53  y: 00110101 186
x: 11100010 226  y: 11100010 170
x: 01001010 74  y: 01001010 203
x: 00101111 47  y: 00101111 180
x: 10011101 157  y: 10011101 165
x: 01111011 123  y: 01111011 99
x: 01010000 80  y: 01010000 155
x: 00111010 58  y: 00111010 59
x: 01010011 83  y: 01010011 148
x: 11100000 224  y: 11100000 173
x: 01001010 74  y: 01001010 221
x: 10001101 141  y: 10001101 156
x: 11001010 202  y: 11001010 4
x: 10011011 155  y: 10011011 136
x: 10011001 153  y: 10011001 65
x: 01000011 67  y: 01000011 116
x: 01111010 122  y: 01111010 167
x: 01001010 74  y: 01001010 145
x: 01101111 111  y: 01101111 138
x: 00101000 40  y: 00101000 197
x: 11110001 241  y: 11110001 196
x: 00001001 9  y: 00001001 173
x: 11011001 217  y: 11011001 255
x: 11000001 193  y: 11000001 46
x: 01111001 121  y: 01111001 52
x: 11101100 236  y: 11101100 255
x: 11011111 223  y: 11011111 212
x: 11011111 223  y: 11011111 97
x: 01000100 68  y: 01000100 116
x: 00000101 5  y: 00000101 238
x: 11100111 231  y: 11100111 143
x: 11001001 201  y: 11001001 45
x: 01001101 77  y: 01001101 237
x: 01110100 116  y: 01110100 69
x: 01111010 122  y: 01111010 180
x: 01111110 126  y: 01111110 36
x: 10000101 133  y: 10000101 66
x: 10111101 189  y: 10111101 205
x: 10101101 173  y: 10101101 249
x: 11000010 194  y: 11000010 17
x: 01111100 124  y: 01111100 25
x: 00010111 23  y: 00010111 250
x: 00101011 43  y: 00101011 27
x: 01100100 100  y: 01100100 100
x: 01000101 69  y: 01000101 155
x: 11100101 229  y: 11100101 183
x: 10111001 185  y: 10111001 205
x: 00100010 34  y: 00100010 250
x: 00011110 30  y: 00011110 200
x: 00000100 4  y: 00000100 76
x: 11010001 209  y: 11010001 173
x: 00010001 17  y: 00010001 171
x: 00110000 48  y: 00110000 2
x: 10101000 168  y: 10101000 174
x: 10111111 191  y: 10111111 200
x: 00001101 13  y: 00001101 243
x: 11111001 249  y: 11111001 181
x: 00110101 53  y: 00110101 153
x: 10111100 188  y: 10111100 124
x: 00011101 29  y: 00011101 16
x: 11001001 201  y: 11001001 14
x: 10100011 163  y: 10100011 173
x: 00001101 13  y: 00001101 208
x: 00001111 15  y: 00001111 189
x: 11010000 208  y: 11010000 23
x: 01111110 126  y: 01111110 110
x: 11110110 246  y: 11110110 157
x: 10010000 144  y: 10010000 104
x: 01111111 127  y: 01111111 55
x: 00001101 13  y: 00001101 193
x: 10011001 153  y: 10011001 126
x: 01000000 64  y: 01000000 89
x: 10011000 152  y: 10011000 229
x: 01101111 111  y: 01101111 135
x: 01001111 79  y: 01001111 126
x: 00100010 34  y: 00100010 162
x: 00100010 34  y: 00100010 58
x: 00111010 58  y: 00111010 155
x: 10010011 147  y: 10010011 92
x: 00001001 9  y: 00001001 238
x: 00100010 34  y: 00100010 253
x: 00111010 58  y: 00111010 14
x: 01011011 91  y: 01011011 99
x: 01001111 79  y: 01001111 9
x: 10111011 187  y: 10111011 225
x: 00001100 12  y: 00001100 29
x: 11110111 247  y: 11110111 198
x: 01010000 80  y: 01010000 95
x: 11101101 237  y: 11101101 210
x: 01111001 121  y: 01111001 7
x: 11010001 209  y: 11010001 239
x: 01100110 102  y: 01100110 196
x: 11000110 198  y: 11000110 121
x: 11110100 244  y: 11110100 71
x: 00111001 57  y: 00111001 10
x: 10000000 128  y: 10000000 151
x: 01100001 97  y: 01100001 154
x: 11000001 193  y: 11000001 167
x: 10010000 144  y: 10010000 3
x: 11010101 213  y: 11010101 81
x: 00111001 57  y: 00111001 251
x: 01010000 80  y: 01010000 145
x: 01101100 108  y: 01101100 39
x: 00100000 32  y: 00100000 150
x: 10101001 169  y: 10101001 123
x: 11000100 196  y: 11000100 37
x: 10110111 183  y: 10110111 185
x: 01001010 74  y: 01001010 198
x: 11001000 200  y: 11001000 130
x: 00011100 28  y: 00011100 85
x: 01111100 124  y: 01111100 166
